scan_date,score,core3,climax,capitulation,index_value,drawdown_pct,index_near_high,alert,watch,alert_cross,watch_cross,watch_trigger,logged_at
2026-07-24,-0.0151,0.0306,-0.6929,0.8636,6.7389,-21.92,0,0,0,0,0,,2026-07-26T08:52:27.206Z
2026-07-26,-0.0151,0.0306,-0.6929,0.8636,6.7389,-21.92,0,0,0,0,0,,2026-07-27T17:06:23.122Z
2026-07-27,-0.0151,0.0306,-0.6929,0.8636,6.7389,-21.92,0,0,0,0,0,,2026-07-27T22:51:53.435Z
2026-07-28,-0.3783,-0.0572,-0.6914,1.9756,5.5212,-36.03,0,0,0,0,0,,2026-07-28T21:31:47.861Z
2026-07-29,-0.2941,0.2887,-0.6909,2.2776,5.1499,-40.33,0,0,0,0,0,,2026-07-29T21:13:22.735Z
2026-07-30,-0.1311,0.197,-0.6905,1.8086,5.8296,-32.46,0,0,0,0,0,,2026-07-30T21:31:45.795Z
2026-07-31,-0.2394,0.0009,-0.69,1.6597,5.8659,-32.04,0,0,0,0,0,,2026-07-31T21:21:58.052Z
2026-08-03,-0.2879,-0.1677,-0.69,1.555,6.0528,-29.87,0,0,0,0,0,,2026-08-03T21:29:04.644Z
2026-08-04,-0.2012,-0.3219,-0.689,0.7416,6.5395,-24.23,0,0,0,0,0,,2026-08-04T21:36:10.443Z
2026-08-05,-0.097,0.2269,-0.689,1.2155,6.1124,-29.18,0,0,0,0,0,,2026-08-05T21:32:54.207Z
2026-08-06,-0.0913,0.2383,-0.689,1.2155,6.1124,-29.18,0,0,0,0,0,,2026-08-07T00:56:10.027Z
2026-08-07,0.1322,0.4607,-0.3121,1.0604,6.298,-27.03,0,0,0,0,0,,2026-08-07T20:59:23.188Z
2026-08-10,0.1822,0.757,-0.6876,1.0367,6.1574,-28.66,0,0,0,0,0,,2026-08-10T21:02:05.824Z
2026-08-11,0.2328,0.6853,-0.6872,0.7715,6.3161,-26.82,0,0,0,0,0,,2026-08-11T21:04:32.586Z
2026-08-12,0.3854,0.7858,-0.6867,0.2405,6.5307,-24.34,0,0,0,0,0,,2026-08-12T21:03:26.130Z
2026-08-13,0.5368,1.1072,-0.6872,0.262,6.6548,-22.9,0,0,1,0,1,core3,2026-08-13T21:02:58.049Z
2026-08-14,0.5675,1.0359,-0.0532,0.0002,6.7268,-22.06,0,0,1,0,0,core3,2026-08-15T16:31:27.283Z
2026-08-17,0.7755,1.1022,-0.3397,-0.1984,7.0192,-18.68,0,0,1,0,0,core3,2026-08-17T20:42:12.878Z
2026-08-18,0.5317,1.2362,-0.6597,0.3181,6.4242,-25.57,0,0,1,0,0,core3,2026-08-18T20:39:03.757Z
2026-08-19,0.2258,0.8695,-0.6861,0.3791,6.3403,-26.54,0,0,0,0,0,,2026-08-19T20:44:34.630Z
2026-08-20,0.2517,0.7882,-0.6861,0.3136,6.3823,-26.05,0,0,0,0,0,,2026-08-20T20:45:21.348Z
2026-08-21,0.1556,0.6085,-0.6847,0.2064,6.3226,-26.75,0,0,0,0,0,,2026-08-21T20:39:46.054Z
2026-08-24,-0.1802,0.2253,-0.6842,0.4302,6.0851,-29.5,0,0,0,0,0,,2026-08-24T20:47:19.240Z
2026-08-25,-0.1545,0.1273,-0.6837,0.0736,6.2117,-28.03,0,0,0,0,0,,2026-08-25T20:45:18.962Z
2026-08-26,-0.1529,0.1307,-0.6837,0.0736,6.2117,-28.03,0,0,0,0,0,,2026-08-26T23:31:06.831Z
2026-08-27,-0.2244,-0.1193,-0.6833,-0.2617,6.3675,-26.23,0,0,0,0,0,,2026-08-28T04:22:54.369Z
2026-08-28,-0.333,-0.3623,-0.6614,-0.136,6.4872,-24.84,0,0,0,0,0,,2026-08-29T02:49:37.342Z
2026-08-31,-0.611,-0.4497,-0.6824,0.3643,6.1939,-28.24,0,0,0,0,0,,2026-08-31T23:50:12.577Z
